estacionID,fecha,temp_media,tmax,tmin
OBSTL,08/09/21 0:00,17,22.6,11.4
SJATL,08/09/21 0:00,14.5,19,10
ZACTL,08/09/21 0:00,19,26,12
ZITTL,08/09/21 0:00,16,21,11
ABSTP,08/09/21 0:00,29.75,36,23.5
BALTP,08/09/21 0:00,29.8,34.3,25.4
BR1TP,08/09/21 0:00,29.95,37.2,22.7
BRRTP,08/09/21 0:00,29.6,37.3,21.9
CDOTP,08/09/21 0:00,31,37,25
CONTP,08/09/21 0:00,30.5,36,25
CORTP,08/09/21 0:00,32,40.5,23.5
CVCTP,08/09/21 0:00,29.5,37.6,21.5
CVTTP,08/09/21 0:00,28.5,36,21
ERCTP,08/09/21 0:00,30,37,23
FDOTP,08/09/21 0:00,31.2,38.5,23.9
LSRTP,08/09/21 0:00,28.5,35.5,21.5
MAGTP,08/09/21 0:00,28.1,34.8,21.4
MATTP,08/09/21 0:00,30.5,36,25
